"last_name, first_name","player_id","year","p_formatted_ip","k_percent","bb_percent","woba","xwoba","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","whiff_percent","swing_percent","ff_avg_speed","ff_avg_break_z","sl_avg_speed","sl_avg_break_x","sl_avg_break_z","ch_avg_speed","ch_avg_spin","ch_avg_break_x","ch_avg_break_z","cu_avg_speed","cu_avg_break_x","cu_avg_break_z","si_avg_speed","si_avg_break_x","si_avg_break_z","fc_avg_speed","fc_avg_break_x","fc_avg_break_z","fs_avg_speed","fs_avg_break_x","fs_avg_break_z","st_avg_speed","st_avg_break_x","st_avg_break_z","sv_avg_speed","sv_avg_break_x","sv_avg_break_z"
"Quantrill, Cal",615698,2024,"148.1",16.8,10.5,".358",".351",7.3,41.2,"77.92321026","94.354738243",21.6,45.7,"93.9","-16.9","84","3.6","-38.4","84.9","1555","-11.5","-29.8","79.4","2.9","-47.5","93.8","-15.2","-17.6","87.7","3.2","-30.3","86.6","-9.3","-31.8",,,,,,
"López, Reynaldo",625643,2024,"135.2",27.3,7.7,".271",".307",8.8,42.2,"79.439650977","94.317767471",27.5,49,"95.5","-13.6","85","5.5","-39.6","86.1","1561","-10.2","-25.8","77","7","-54",,,,,,,,,,,,,,,
"Lively, Ben",594902,2024,"151.0",18.7,7.8,".315",".309",6.5,41.5,"80.455663231","94.191914792",18.6,46.6,"89.9","-18.5","80.7","6","-34","83.9","1701","-15","-31.3","76.9","9","-51.2","90.4","-13.2","-21.7",,,,,,,"79","10.7","-41.1",,,
"Bassitt, Chris",605135,2024,"171.0",22.2,9.2,".331",".327",7.5,37.1,"75.64419492","94.077816493",21.7,45,"92.6","-18.8","82.5","6.8","-41","84.5","1930","-17.2","-31","71","15.3","-67.7","92.5","-16.5","-23.9","89.6","0","-24.8","84.1","-13.2","-38.5","74.1","17.5","-51.4",,,
"Webb, Logan",657277,2024,"204.2",20.5,5.9,".288",".320",7,46.2,"77.927662825","95.233452829",20.8,46.2,"92.6","-22.5",,,,"87.4","1460","-9.9","-40.4",,,,"92.6","-15.1","-30.9","91","-1.2","-25.2",,,,"83.8","16.4","-39.9",,,
"Berríos, José",621244,2024,"192.1",19.5,6.9,".308",".334",7.8,41.8,"79.087839143","94.188449928",21.1,46.7,"94.1","-16",,,,"84.8","1588","-14.5","-33.4",,,,"93.4","-15.8","-20.4","91.4","-1.4","-21.3",,,,,,,"83.2","15.1","-44.7"
"Houck, Tanner",656557,2024,"178.2",20.7,6.5,".276",".313",5.7,41.8,"78.489312385","94.430703969",22.6,46.8,"95.1","-23.5",,,,,,,,,,,"93.5","-16","-30.9","87.1","0.5","-35.2","88.4","-13.5","-37.9","83.2","16.7","-41.7",,,
"Imanaga, Shota",684007,2024,"173.1",25.1,4,".279",".286",8.6,39.3,"77.586230864","93.931424733",28.3,55.7,"91.7","-14.4","82","-0.7","-35.8","81.6","1670","11.9","-31.4","72.5","-8.9","-65.2","89","14.6","-24.9","89.8","0.4","-19.9","82.9","10.3","-33","81.6","-10.1","-38",,,
"Civale, Aaron",650644,2024,"161.0",21.6,7.5,".327",".309",7.3,39.4,"79.152007238","94.002413711",21.9,45.2,"92","-14","83.5","6.9","-40.3",,,,,"77.1","13","-63.8","92.6","-13.8","-19.2","88.1","3.8","-27.5","85.6","-16.1","-28.9","80.2","17.3","-45.1",,,
"Sánchez, Cristopher",650911,2024,"181.2",20.3,5.8,".290",".293",5.4,34.5,"75.18960646","93.870693047",24.3,51.6,,,"84.4","-1","-41.6","85.1","2018","17.9","-37.2",,,,"94.5","17.8","-23.2","84.9","-0.2","-35.2",,,,,,,,,
